name,score,Energy,Fat,Saturated Fat,Unsaturated Fat,Carbohydrates,Suger,Fiber,Protein,Salt,Calcium,Vitamin B2,Vitamin C,Omega3,Alpha-Linolenic Acid,Eicosapentaenoic Acid,Docosahexaenoic Acid,Vitamin B6,Vitamin D
AH Scharrel gebraden kipfilet,C,109.0,2.3,0.8,1.5,1.8,0.9,0.5,20.0,1.8,,,,,,,,,
AH Honing,D,326.0,0.0,0.0,0.0,81.0,81.0,0.0,0.4,0.0,,,,,,,,,
AH Snoepgroente tomaat,A,31.0,0.8,0.1,0.5,4.0,4.0,1.9,0.9,0.0,,,0.024,,,,,,
AH Cherrytomaten,A,31.0,0.8,0.1,0.5,4.0,4.0,1.9,0.9,0.0,,,0.024,,,,,,
AH Snoepgroente tomaat,A,31.0,0.8,0.1,0.5,4.0,4.0,1.9,0.9,0.0,,,0.024,,,,,,
AH Luchtige cracker volkoren met rijstbloem,A,352.0,3.6,0.4,2.0,63.0,3.9,14.0,10.0,1.18,,,,,,,,,
AH Geschrapte worteltjes,A,33.0,0.3,0.1,0.2,5.5,4.0,3.0,0.6,0.1,,,,,,,,,
AH Snoepgroente paprikamix,A,24.0,0.1,0.0,0.1,3.8,3.8,2.1,0.8,0.0,,,0.124,,,,,,
AH Rijstwafels naturel,A,380.0,3.0,0.7,2.5,79.0,1.0,4.0,7.5,0.23,,,,,,,,,
AH Biologisch Maiswafels met zeezout rond,B,383.0,0.7,0.0,0.7,87.0,0.6,1.5,6.5,0.28,,,,,,,,,
AH Snoepgroente tomatenmix,A,31.0,0.8,0.1,0.5,4.0,4.0,1.9,0.9,0.0,,,0.024,,,,,,
AH Snoepgroente tomaat,A,31.0,0.8,0.1,0.5,4.0,4.0,1.9,0.9,0.0,,,0.024,,,,,,
AH Ontbijtkoek gesneden,C,292.0,0.9,0.1,0.8,66.0,38.0,4.1,2.8,0.65,,,,,,,,,
AH Dunne maiswafels paprika,B,412.0,8.5,0.8,7.3,75.0,3.3,2.9,7.4,1.08,,,,,,,,,
AH Dikke maiswafel,A,381.0,2.2,0.3,1.7,79.0,1.4,5.3,8.7,0.53,,,,,,,,,
AH Knackebrod Volkoren,A,371.0,4.8,0.5,3.9,64.0,1.8,14.0,11.0,0.73,,,,,,,,,
AH Snoepgroente wortel,A,33.0,0.3,0.1,0.2,5.3,3.9,2.9,0.7,0.08,,,,,,,,,
AH Ontbijtkoek volkoren gesneden,C,279.0,1.3,0.2,1.1,58.0,36.0,10.0,3.7,0.65,,,,,,,,,
AH Granaatappelpitjes,A,56.0,0.2,0.0,0.0,12.0,12.0,0.6,1.3,0.0,,,,,,,,,
AH Ice tea refreshing green tea,D,14.0,0.0,0.0,0.0,3.6,3.6,0.0,0.0,0.0,,,,,,,,,
AH Appelsap,C,42.0,0.0,0.0,0.0,10.0,9.8,0.2,0.1,0.0,,,,,,,,,
AH Cola zero,B,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.03,,,,,,,,,
AH Vers sap sinaasappel,C,38.0,0.0,0.0,0.0,8.5,8.5,0.7,0.7,0.0,,,0.051,,,,,,
AH Ginger power,D,35.0,0.0,0.0,0.0,8.1,7.7,0.5,0.5,0.0,,,0.0091,,,,,,
AH Bruisend mineraalwater citroen,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,,,,,,,,,
AH Vers sap sinaasappel,C,38.0,0.0,0.0,0.0,8.5,8.5,0.7,0.7,0.0,,,0.051,,,,,,
AH Sinaasappelsap,C,40.0,0.0,0.0,0.0,8.7,8.7,0.2,0.7,0.0,,,0.024,,,,,,
AH Ginger passion,E,46.0,0.0,0.0,0.0,11.0,9.2,0.2,0.4,0.0,,,,,,,,,
AH Sinas regular,E,32.0,0.0,0.0,0.0,7.6,7.6,0.04,0.06,0.03,,,,,,,,,
AH Gehakt cordon bleu kaas en ham,D,305.0,20.0,8.3,10.0,14.0,0.7,0.7,17.0,1.25,,,,,,,,,
AH Mager spekblokjes,D,135.0,5.0,2.1,2.9,0.5,0.5,0.0,22.0,3.0,,,,,,,,,
AH Scharrel kipdijfiletreepjes naturel,A,157.0,8.5,2.9,5.3,0.0,0.0,0.0,20.0,0.13,,,,,,,,,
AH Kabeljauwburger gepaneerd,B,221.0,11.0,0.8,9.9,17.0,0.9,0.8,13.0,1.13,,,,,,,,,
AH Schnitzel Hongaarse stijl,C,162.0,3.8,1.3,2.2,16.0,1.3,1.7,15.0,1.4,,,,,,,,,
AH Greenfields Beefburger bacon,D,260.0,20.0,8.7,9.3,2.0,0.06,0.1,18.0,1.3,,,,,,,,,
AH Ontbijtspek,E,305.0,27.0,11.0,16.0,0.5,0.5,0.0,15.0,3.0,,,,,,,,,
AH Scharrel kipburger 2 stuks,C,284.0,18.0,4.7,13.0,18.0,1.1,1.2,12.0,1.0,,,,,,,,,
AH Biologisch Spekreepjes,E,354.0,32.0,12.0,20.0,0.5,0.5,0.0,16.0,2.7,,,,,,,,,
AH Scharrel gerookte kipfilet,B,111.0,1.8,0.5,1.3,0.7,0.7,0.0,23.0,1.5,,,,,,,,,
AH Varkenslavink,D,278.0,22.0,8.2,12.0,2.0,0.05,0.09,18.0,0.83,,,,,,,,,
AH Scharrel kipreepjes,A,107.0,1.7,0.6,1.0,0.0,0.0,0.0,23.0,0.25,,,,,,,,,
AH Varkensbraadworst,D,257.0,19.0,7.2,9.9,1.4,0.06,0.07,20.0,1.45,,,,,,,,,
AH Kabeljauwhaasje portie,A,76.0,0.4,0.1,0.3,0.0,0.0,0.0,18.0,0.2,,,,0.176,,,,,
AH Zalmfilet,A,220.0,16.0,2.5,14.0,0.0,0.0,0.0,19.0,0.2,,,,2.0,,,,,
AH Half-om-half gehakt,C,228.0,16.0,6.7,7.5,0.9,0.0,0.0,20.0,0.2,,,,,,,,,
AH Greenfields Beefburger jalapeno,D,266.0,20.0,9.0,8.9,2.2,0.5,0.6,19.0,1.43,,,,,,,,,
AH Scharrel kip cordon bleu 2 stuks,B,209.0,11.0,2.9,8.3,14.0,0.7,1.1,13.0,1.13,,,,,,,,,
AH Verse worst,D,257.0,19.0,7.2,9.9,1.4,0.06,0.07,20.0,1.45,,,,,,,,,
AH Biologisch Hamburger,D,219.0,15.0,6.8,6.7,1.8,0.3,0.2,19.0,1.2,,,,,,,,,
AH Biologisch Rundergehakt,C,234.0,17.0,7.4,7.2,0.3,0.0,0.0,20.0,0.33,,,,,,,,,
AH Zalmfilet,A,179.0,11.0,2.0,9.4,0.0,0.0,0.0,20.0,0.1,,,,1.695,0.735,0.228,0.392,,
AH Gerookte zalmfilet voordeel,D,187.0,11.0,3.9,7.1,0.0,0.0,0.0,22.0,2.5,,,,,,,,,
AH Biologisch Ontbijtspek,E,283.0,23.0,9.6,13.0,0.0,0.0,0.0,19.0,3.8,,,,,,,,,
AH Biologisch Runderchipolata,D,263.0,20.0,8.6,8.4,1.6,0.3,0.2,19.0,1.25,,,,,,,,,
AH Vissticks,B,191.0,9.0,0.8,8.2,14.0,0.8,0.8,13.0,0.83,,,,,,,,,
AH Rundertartaar,B,171.0,9.8,4.3,4.2,0.8,0.0,0.0,20.0,0.35,,,,,,,,,
AH Scharrel kipkaasschnitzel 2 stuks,D,249.0,15.0,5.4,9.4,13.0,0.2,1.0,15.0,1.3,,,,,,,,,
AH Boerengehakt schnitzel,D,305.0,19.0,7.2,10.0,17.0,0.9,0.8,16.0,1.28,,,,,,,,,
AH Lekkerbekjes,C,198.0,11.0,1.3,7.8,17.0,0.7,0.7,7.4,1.4,,,,,,,,,
AH Greenfields Runder riblappen,B,166.0,9.5,4.2,4.1,0.0,0.0,0.0,20.0,0.15,,,,,,,,,
AH Gerookte zalmfilet,D,191.0,11.0,3.9,7.1,0.0,0.0,0.0,23.0,2.5,,,,,,,,,
AH Biefstuk,A,108.0,1.8,0.7,0.8,0.0,0.0,0.0,23.0,0.13,,,,,,,,,
AH Zalmfilet,A,220.0,16.0,2.5,14.0,0.0,0.0,0.0,19.0,0.2,,,,2.0,,,,,
